Seed,Active Slot Coefficient,End Slot,Total Stake,Node Stake,Blocks Produced
12656,0.05,7200,1000,756,278
12651,0.05,7200,1000,626,214
12613,0.05,7200,1000,6,3
126,0.05,7200,1000,744,256
12573,0.05,7200,1000,969,378
12550,0.05,7200,1000,321,113
12522,0.05,7200,1000,707,248
12512,0.05,7200,1000,713,243
12480,0.05,7200,1000,968,344
1240,0.05,7200,1000,1000,376
1238,0.05,7200,1000,213,80
12370,0.05,7200,1000,54,17
12336,0.05,7200,1000,973,320
12331,0.05,7200,1000,38,12
12324,0.05,7200,1000,949,331
12320,0.05,7200,1000,249,100
12309,0.05,7200,1000,310,136
12261,0.05,7200,1000,662,223
12241,0.05,7200,1000,617,239
12175,0.05,7200,1000,910,347
12153,0.05,7200,1000,822,310
12136,0.05,7200,1000,158,57
12130,0.05,7200,1000,498,162
12080,0.05,7200,1000,731,245
12026,0.05,7200,1000,414,141
1197,0.05,7200,1000,618,231
11968,0.05,7200,1000,667,228
11966,0.05,7200,1000,22,9
11962,0.05,7200,1000,775,311
1190,0.05,7200,1000,595,212
11870,0.05,7200,1000,290,105
11866,0.05,7200,1000,999,347
11823,0.05,7200,1000,299,114
11766,0.05,7200,1000,914,311
11731,0.05,7200,1000,83,23
11727,0.05,7200,1000,180,80
11726,0.05,7200,1000,199,63
11694,0.05,7200,1000,854,316
11693,0.05,7200,1000,596,221
11691,0.05,7200,1000,95,37
11664,0.05,7200,1000,456,152
11629,0.05,7200,1000,926,367
11619,0.05,7200,1000,160,60
11612,0.05,7200,1000,999,333
11553,0.05,7200,1000,391,132
11552,0.05,7200,1000,173,65
11548,0.05,7200,1000,720,276
11544,0.05,7200,1000,673,248
11508,0.05,7200,1000,189,61
11476,0.05,7200,1000,693,235
11422,0.05,7200,1000,101,32
11401,0.05,7200,1000,890,304
11398,0.05,7200,1000,388,141
11393,0.05,7200,1000,678,278
11368,0.05,7200,1000,734,265
1133,0.05,7200,1000,969,358
11320,0.05,7200,1000,345,145
11290,0.05,7200,1000,915,334
11190,0.05,7200,1000,873,321
11146,0.05,7200,1000,817,310
11107,0.05,7200,1000,340,135
11082,0.05,7200,1000,902,335
11065,0.05,7200,1000,802,285
11,0.05,7200,1000,550,205
10924,0.05,7200,1000,67,27
10893,0.05,7200,1000,166,61
10840,0.05,7200,1000,775,290
